"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
syndrome_focal,syndrome,,radio,"Focal syndromes","209, ""Benign"" Childhood Epilepsies: Childhood Epilepsy with Centrotemporal Spikes<span title=""ILAE definition""> [<a style=""text-decoration:underline"" target=""_blank"" href=""https://www.epilepsydiagnosis.org/syndrome/ects-overview.html"">ILAE Definition</a>]</span> | 210, ""Benign"" Childhood Epilepsies: Atypical Childhood Epilepsy with Centrotemporal Spikes <span title=""ILAE definition""> [<a style=""text-decoration:underline"" target=""_blank"" href=""https://www.epilepsydiagnosis.org/syndrome/atypical-ects-overview.html"">ILAE Definition</a>]</span> | 211, ""Benign"" Childhood Epilepsies: Benign Occipital Epilepsy (Panayiotopoulos) <span title=""ILAE definition""> [<a style=""text-decoration:underline"" target=""_blank"" href=""https://www.epilepsydiagnosis.org/syndrome/panayiotopoulos-overview.html"">ILAE Definition</a>]</span> | 212, ""Benign"" Childhood Epilepsies: Benign Occipital Epilepsy (Gastaut) <span title=""ILAE definition""> [<a style=""text-decoration:underline"" target=""_blank"" href=""https://www.epilepsydiagnosis.org/syndrome/late-childhood-occipital-overview.html"">ILAE Definition</a>] </span> | 213, ""Benign"" Childhood Epilepsies: Idiopathic photosensitive occipital lobe epilepsy <span title=""ILAE definition""> [<a style=""text-decoration:underline"" target=""_blank"" href=""https://www.epilepsydiagnosis.org/syndrome/idiophatic-pole-overview.html"">ILAE Definition</a></span>] | 220, Other Non-Structural Focal Epilepsies: Frontal<div class='note' style=""text-indent:0pt"">Non-lesional epilepsy with clinical and/or EEG evidence of a frontal localization [<a class='note' style=""text-decoration:underline; font-size:7pt;"" target=""_blank"" href=""https://www.epilepsydiagnosis.org/seizure/frontal-lobe-overview.html"">ILAE Definition</a>]</div> | 221, Other Non-Structural Focal Epilepsies: Frontotemporal<div class='note' style=""text-indent:0pt"">Non-lesional epilepsy with clinical and/or EEG evidence of a frontotemporal localization.]</div> | 222, Other Non-Structural Focal Epilepsies: Temporal<div class='note' style=""text-indent:0pt"">Non-lesional epilepsy with clinical and/or EEG evidence of a temporal localization [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/seizure/temporal-overview.html"" target=""_blank"">ILAE Definition</a>] that does not meet the criteria for Childhood Epilepsy with Centrotemporal Spikes. Mesial temporal lobe epilepsy secondary to hippocampal sclerosis can be included here.</div> | 223, Other Non-Structural Focal Epilepsies: Occipital<div class='note' style=""text-indent:0pt"">Non-lesional epilepsy with clinical and/or EEG evidence of an occipital localization [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/seizure/occipital-overview.html"" target=""_blank"">ILAE Definition</a>] that does not meet the criteria for any of the benign occipital epilepsy syndromes.</div> | 224, Other Non-Structural Focal Epilepsies: Temporoccipital<div class='note' style=""text-indent:0pt"">Non-lesional epilepsy with clinical and/or EEG evidence of a temporoccipital localization.</div> | 225, Other Non-Structural Focal Epilepsies: Parietal<div class='note' style=""text-indent:0pt"">Non lesional epilepsy with clinical and/or EEG evidence of a parietal localization [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/seizure/parietal-overview.html"" target=""_blank"">ILAE Definition</a>]</div> | 226, Other Non-Structural Focal Epilepsies: Multifocal<div class='note' style=""text-indent:0pt"">Non-lesional epilepsy with clinical and/or EEG evidence of more than one localization. Please provide additional details in the <em>Epilepsy Syndrome Comments</em> section.</div> | 227, Other Non-Structural Focal Epilepsies: Unspecified<div class='note' style=""text-indent:0pt"">Non-lesional epilepsy with clinical and/or EEG evidence of focal onset but the specific localization is undetermined.</div> | 250, Structural Focal Epilepsies: Malformation: Focal cortical dysplasia<div class='note' style=""text-indent:0pt"">Focal epilepsy with definite Focal cortical dysplasia of cerebral cortex on brain imaging [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/aetiology/focal-cortical-dysplasia-overview.html"" target=""_blank"">ILAE Definition</a></span>]</div> | 251, Structural Focal Epilepsies: Malformation: Lissencephaly<div class='note' style=""text-indent:0pt"">Focal epilepsy with definite Lissencephaly on brain imaging [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/aetiology/lissencephaly-overview.html"" target=""_blank"">ILAE Definition</a></span>]</div> | 252, Structural Focal Epilepsies: Malformation: Subcortical band heterotopia<div class='note' style=""text-indent:0pt"">Focal epilepsy with definite Subcortical band heterotopia on brain imaging [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/aetiology/subcortical-heterotopia-overview.html"" target=""_blank"">ILAE Definition</a></span>]</div> | 253, Structural Focal Epilepsies: Malformation: Grey matter heterotopia<div class='note' style=""text-indent:0pt"">Focal epilepsy with definite grey matter heterotopia (e.g. PVNH) on brain imaging [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/aetiology/grey-matter-heterotopia-overview.html"" target=""_blank"">ILAE Definition</a></span>]</div> | 254, Structural Focal Epilepsies: Malformation: Polymicrogyria<div class='note' style=""text-indent:0pt"">Focal epilepsy with definite polymicrogyria on brain imaging [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/aetiology/polymicrogyria-overview.html"" target=""_blank"">ILAE Definition</a></span>]</div> | 255, Structural Focal Epilepsies: Malformation: Hypothalamic Hamartoma<div class='note' style=""text-indent:0pt"">Focal epilepsy with definite Hypothalamic Hamartoma on brain imaging [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/aetiology/hh-overview.html"" target=""_blank"">ILAE Definition</a></span>]</div> | 256, Structural Focal Epilepsies: Malformation: Hemimegalencephaly<div class='note' style=""text-indent:0pt"">Focal epilepsy with definite Hemimegaencephaly on brain imaging [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/aetiology/hemimegalencephaly-overview.html"" target=""_blank"">ILAE Definition</a></span>]</div> | 257, Structural Focal Epilepsies: Malformation: Schizencephaly<div class='note' style=""text-indent:0pt"">Focal epilepsy with definite Schizencephaly on brain imaging [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/aetiology/schizencephaly-overview.html"" target=""_blank"">ILAE Definition</a></span>]</div> | 260, Structural Focal Epilepsies: Traumatic Brain Injury<div class='note' style=""text-indent:0pt"">Focal epilepsy due to acquired brain injury [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/aetiology/traumatic-brain-injury-overview.html"" target=""_blank"">ILAE Definition</a></span>]</div> | 270, Structural Focal Epilepsies: Stroke<div class='note' style=""text-indent:0pt"">Focal epilepsy due to hemorrahagic or ischemic stroke [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/aetiology/stroke-overview.html"" target=""_blank"">ILAE Definition</a></span>]</div> | 271, Structural Focal Epilepsies: Hypoxic Ischemic Injury<div class='note' style=""text-indent:0pt"">Focal epilepsy due to Hypoxic ischemic injury [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/aetiology/hypoxic-ischemic-injury-overview.html"" target=""_blank"">ILAE Definition</a></span>]</div> | 280, Structural Focal Epilepsies: Benign Tumor<div class='note' style=""text-indent:0pt"">Focal epilepsy due to benign tumor (ganglioglioma [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/aetiology/ganglioglioma-overview.html"" target=""_blank""> ILAE Definition</a></span>]</div> or DNET [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/aetiology/dnet-overview.html"" target=""_blank"">ILAE Definition</a></span>]) | 281, Structural Focal Epilepsies: Vascular malformation: cerebral angioma<div class='note' style=""text-indent:0pt"">Focal epilepsy associated with cerebral angioma [<a style=""text-decoration:underline; font-size:7pt;""=""_blank"" href=""https://www.epilepsydiagnosis.org/aetiology/cerebral-angioma-overview.html"" target=""_blank"">ILAE Definition</a></span>]</div> | 290, Structural Focal Epilepsies: Mixed epilepsy lesions<div class='note' style=""text-indent:0pt"">Focal epilepsy with multiple different epilepsy lesions</div> | 291, Structural Focal Epilepsies: Other, please specify<div class='note' style=""text-indent:0pt"">Use syndrome comments</div>","Syndrome definitions are based on current <a style=""text-decoration:underline;font-size:7pt"" href=""https://www.epilepsydiagnosis.org/syndrome/epilepsy-syndrome-groupoverview.html"" target=""_blank"" title=""_blank"">ILAE definitions</a>.",,,,,"[diagnosis(3)] = '1'",y,,,,,
loc_evidence,syndrome,,dropdown,"Evidence for focal epilepsy diagnosis","1, Seizure semiology only | 2, Seizure semiology and EEG | 15, Seizure semiology and imaging | 16, Seizure semiology, imaging and histopathology | 3, Seizure semiology, EEG and imaging | 4, Not localized (focal unspecified) | 6, EEG only | 5, Data not available",,,,,,"[diagnosis(3)] = '1'",y,,,,,
other_syndromes,syndrome,,radio,"Other syndromes","1, Paroxysmal kinesigenic dyskinesia (PKD) | 2, Paroxysmal non-kinesigenic dyskinesia (PNKD) | 3, Paroxysmal exercise-induced dyskinesia (PED) | 4, Ataxia | 996, Other, please specify!",,,,,,"[diagnosis(996)] = '1'",,,,,,
other_syndromes_spec,syndrome,,notes,"Other syndromes comment",,,,,,,"[other_syndromes] = '996'",,,,,,
syndrome_note,syndrome,,notes,Note,,,,,,,,,,,,,
syndrome_data_ent,syndrome,,text,"Date of last data entry<div class='note'>Syndrome</div>",,,date_ymd,,,,,,,,,," @TODAY-SERVER"
focal_aware_seizures,seizure_description,"

Focal onset seizures",radio,"Focal aware <span style=""font-weight: normal;""> [simple partial]</span> <div class='note'>See <a style=""text-decoration:underline; font-size:7pt"" target=""_blank"" href=""https://www.epilepsydiagnosis.org/seizure/aware-overview.html"">ILAE definition</a><br /><br /><span style=""color: #ff0000"">Please specify below!</span></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,focal_onset_seizures,,
focal_imp_awar_seizures,seizure_description,,radio,"Focal impaired awareness <span style=""font-weight: normal;""> [complex partial]</span> <div class='note'>See <a style=""text-decoration:underline; font-size:7pt"" target=""_blank"" href=""https://www.epilepsydiagnosis.org/seizure/focal-impaired-awareness-overview.html"">ILAE definition</a><br /><br /><span style=""color: #ff0000"">Please specify below!</span></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,focal_onset_seizures,,
focal_to_bilat_seizures,seizure_description,,radio,"Focal to bilateral tonic-clonic <span style=""font-weight: normal;"">/ Bilateral convulsive [secondary GTCS]</span> <div class='note'> Focal seizure evolving to a bilateral convulsion section <br>See <a style=""text-decoration:underline; font-size:7pt"" href=""https://www.epilepsydiagnosis.org/seizure/focal-bilateral-tonic-clonic-overview.html"" target=""_blank"">ILAE definition</a> </div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,focal_onset_seizures,,
focal_bilat_clon_seiz,seizure_description,,radio,"Focal bilateral clonic<div class='note'>Bilateral rhythmic jerking seizure without a tonic component.</div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,focal_onset_seizures,,
focal_hemiclonic_seizures,seizure_description,,radio,"Focal hemiclonic<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/motor-overview.html"" target=""_blank"">ILAE definition</a></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,focal_onset_seizures,,
focal_atonic_seizures,seizure_description,,radio,"Focal atonic<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/motor-overview.html"" target=""_blank"">ILAE definition</a><br /><br /><span style=""color: #ff0000"">Please specify below!</span></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,focal_onset_seizures,,
focal_other_seizures,seizure_description,,radio,"Focal other seizure types, please specify<div class='note'>Focal seizures that do not fit the criteria for an focal aware seizure or focal impaired awareness seizure or are of unknown type. A focal clonic seizure with retained awareness can be included here.</div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,focal_onset_seizures,,
focal_aware_seiz_spec,seizure_description,"
Focal aware seizure / <span style=""font-weight: normal;"">[simple partial]</span> specifications",checkbox,"<div class=""rich-text-field-label""><p>Focal aware <span style=""font-weight: normal;"">[simple partial]</span> specification</p></div>","1, Motor: Automatisms | 2, Motor: Clonic | 3, Motor: Hyperkinetic | 4, Motor: Myoclonic | 5, Motor: Tonic | 6, Non-Motor: Autonomic | 7, Non-Motor: Behavior arrest | 8, Non-Motor: Cognitive | 9, Non-Motor: Emotional | 10, Non-Motor: Sensory | 998, Unknown",,,,,,"[focal_aware_seizures] = '1'",,,,,,
focal_aware_age_onset,seizure_description,,text,"<div class=""rich-text-field-label""><p>Age at first occurrence - Focal aware <span style=""font-weight: normal;"">[simple partial]</span></p></div>",,"Please provide time unit below",number,,,,"[focal_aware_seizures] = '1'",,,,,,
focal_aware_time_unit,seizure_description,,radio,"<p>Time unit</p> <div class=""note"">Age first occurrence - Focal aware [simple partial]</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,"[focal_aware_seizures] = '1'",,RH,,,,
focal_aware_ongoing,seizure_description,,radio,"<div class=""rich-text-field-label""><p>Focal aware <span style=""font-weight: normal;"">[simple partial]</span> ongoing</p></div>","1, Yes | 2, No | 3, Unknown",,,,,,"[focal_aware_seizures] = '1'",,RH,,,,
focal_imp_aw_seiz_spec,seizure_description,"
Focal impaired awareness <span style=""font-weight: normal;"">[complex partial]</span> specifications",checkbox,"<div class=""rich-text-field-label""><p>Focal impaired awareness <span style=""font-weight: normal;"">[complex partial]</span> specification</p></div>","1, Motor: Automatisms | 2, Motor: Clonic | 3, Motor: Hyperkinetic | 4, Motor: Myoclonic | 5, Motor: Tonic | 6, Non-Motor: Autonomic | 7, Non-Motor: Behavior arrest | 8, Non-Motor: Cognitive | 9, Non-Motor: Emotional | 10, Non-Motor: Sensory | 998, Unknown",,,,,,"[focal_imp_awar_seizures] = '1'",,,,,,
focal_imp_awar_age_onset,seizure_description,,text,"<div class=""rich-text-field-label""><p>Age at first occurrence - Focal impaired awareness <span style=""font-weight: normal;"">[complex partial]</span></p></div>",,"Please provide time unit below",number,,,,"[focal_imp_awar_seizures] = '1'",,,,,,
focal_imp_awar_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Focal impaired awareness [complex partial]</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,"[focal_imp_awar_seizures] = '1'",,RH,,,,
focal_imp_awar_ongoing,seizure_description,,radio,"<div class=""rich-text-field-label""><p>Focal impaired awareness<span style=""font-weight: normal;""> [complex partial]</span> ongoing</p></div>","1, Yes | 2, No | 3, Unknown",,,,,,"[focal_imp_awar_seizures] = '1'",,RH,,,,
focal_to_bilat_age_onset,seizure_description,"
Focal to bilateral tonic-clonic <span style=""font-weight: normal;"">/ Bilateral convulsive [secondary GTCS]</span> specifications
",text,"Age at first occurrence - Focal to bilateral tonic-clonic <span style=""font-weight: normal;"">/ Bilateral convulsive [secondary GTCS]</span>",,"Please provide time unit below",number,,,,[focal_to_bilat_seizures]=1,,,,,,
focal_to_bilat_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Focal to bilateral tonic-clonic / Bilateral convulsive [secondary GTCS]</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[focal_to_bilat_seizures]=1,,RH,,,,
focal_to_bilat_ongoing,seizure_description,,radio,"Focal to bilateral tonic-clonic <span style=""font-weight: normal;"">/ Bilateral convulsive [secondary GTCS]</span> ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[focal_to_bilat_seizures]=1,,RH,,,,
focal_bilat_clon_age_onset,seizure_description,"
Focal bilateral clonic specifications
",text,"Age at first occurrence - Focal bilateral clonic",,"Please provide time unit below",number,,,,[focal_bilat_clon_seiz]=1,,,,,,
focal_bilat_clon_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Focal bilateral clonic</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[focal_bilat_clon_seiz]=1,,RH,,,,
focal_bilat_clon_ongoing,seizure_description,,radio,"Focal bilateral clonic ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[focal_bilat_clon_seiz]=1,,RH,,,,
focal_hemiclonic_age_onset,seizure_description,"
Focal hemiclonic specifications
",text,"Age at first occurrence - Focal hemiclonic",,"Please provide time unit below",number,,,,[focal_hemiclonic_seizures]=1,,,,,,
focal_hemiclonic_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Focal hemiclonic</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[focal_hemiclonic_seizures]=1,,RH,,,,
focal_hemiclonic_ongoing,seizure_description,,radio,"Focal hemiclonic ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[focal_hemiclonic_seizures]=1,,RH,,,,
focal_atonic_seiz_spec,seizure_description,"
Focal atonic specifications
",radio,"Focal atonic specification","1, Aware | 2, Impaired awareness | 998, Unknown",,,,,,"[focal_atonic_seizures] = '1'",,,,,,
focal_atonic_age_onset,seizure_description,,text,"Age at first occurrence - Focal atonic",,"Please provide time unit below",number,,,,"[focal_atonic_seizures] = '1'",,,,,,
focal_atonic_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Focal atonic</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,"[focal_atonic_seizures] = '1'",,RH,,,,
focal_atonic_ongoing,seizure_description,,radio,"Focal atonic ongoing","1, Yes | 2, No | 3, Unknown",,,,,,"[focal_atonic_seizures] = '1'",,RH,,,,
focal_other_specify,seizure_description,"
Focal other seizure types specifications
",notes,"Focal other seizure types specification",,,,,,,"[focal_other_seizures] = '1'",,,,,,
focal_other_age_onset,seizure_description,,text,"Age at first occurrence - Focal other",,"Please provide time unit below",number,,,,[focal_other_seizures]=1,,,,,,
focal_other_age_time_unit,seizure_description,,radio,"Time unit<div class='note'>Age first occurrence - Focal other</div>","1, days | 2, weeks | 3, months | 4, years","e.g. age of onset is 3 weeks; or age of onset is 6 months ect.",,,,,[focal_other_seizures]=1,,RH,,,,
focal_other_ongoing,seizure_description,,radio,"Focal other seizure types ongoing","1, Yes | 2, No | 3, Unknown",,,,,,[focal_other_seizures]=1,,RH,,,,
generalized_seizures,seizure_description,"
Generalized onset seizures",radio,"Generalized tonic-clonic <span style=""font-weight: normal;"">[primary GTCS]</span><div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/tonic-clonic-variants-overview.html"" target=""_blank"">ILAE definition</a></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,gen_onset_seizures,,
clonic_seizures,seizure_description,,radio,"Clonic<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/tonic-clonic-variants-overview.html"" target=""_blank"">ILAE definition</a< /div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,gen_onset_seizures,,
tonic_seizures,seizure_description,,radio,"Tonic<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/tonic-overview.html"" target=""_blank "">ILAE definition</a></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,gen_onset_seizures,,
myoclonic_seizures,seizure_description,,radio,"Myoclonic<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/myoclonic-overview.html"" target=""_blank"">ILAE definition</a></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,gen_onset_seizures,,
myoclon_ton_clon_seiz,seizure_description,,radio,"Myoclonic-tonic-clonic<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/tonic-clonic-variants-overview.html"" target=""_blank"">ILAE definition</a< /div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,gen_onset_seizures,,
myoclonic_atonic_seiz,seizure_description,,radio,"Myoclonic-atonic<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/myoclonic-atonic-overview.html"" target=""_blank"">ILAE definition</a< /div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,gen_onset_seizures,,
atonic_seizures,seizure_description,,radio,"Atonic<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/atonic-overview.html"" target=""_blank"">ILAE definition</a></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,gen_onset_seizures,,
absence_seizures,seizure_description,,radio,"Absence (typical)<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/absence-typical-overview.html"" target=""_blank"">ILAE definition</a></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,gen_onset_seizures,,
atypical_absence_seizures,seizure_description,,radio,"Atypical Absence<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/absence-atypical-overview.html"" target=""_blank"">ILAE definition</a></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,gen_onset_seizures,,
myoclonic_absence_seiz,seizure_description,,radio,"Myoclonic absence<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/awsf-myoclonic-absence-overview.html"" target=""_blank"">ILAE definition</a< /div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,gen_onset_seizures,,
eylid_myoclonia_seiz,seizure_description,,radio,"Eylid myoclonia<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/awsf-eyelid-myoclonia-overview.html"" target=""_blank"">ILAE definition</a< /div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,gen_onset_seizures,,
generalized_age_onset,seizure_description,"
Age at first occurrence - Generalized tonic-clonic <span style=""font-weight: normal;"">[primary GTCS]</span> specifications",text,"<div class=""rich-text-field-label""><p>Age at first occurrence - Generalized tonic-clonic <span style=""font-weight: normal;"">/ [primary GTCS]</span></p></div>",,"Please provide time unit below",number,,,,[generalized_seizures]=1,,,,,,
